pickup_name,pickup_city,pickup_state,pickup_zip,dest_name,dest_city,dest_state,dest_zip,miles,price_usd,vehicle_class
IAAI Pittsburgh,Aliquippa,PA,15001,Lube Avto Shipping (Apex),Irvington,NJ,07111,386,350,standard
IAAI Baton Rouge,Carville,LA,70721,TRT International - Argus Motors,La Porte,TX,77571,273,305,standard
IAAI Baton Rouge,Carville,LA,70721,TRT International - Argus Motors,La Porte,TX,77571,273,300,standard
IAAI Chicago-South,Markham,IL,60428,Lube Avto Shipping (Apex),Irvington,NJ,07111,771,530,standard
IAAI Raleigh,Clayton,NC,27520,TRT International,Rincon,GA,31326,316,240,standard
IAAI Fremont,Fremont,CA,94538,TRT International - PACLOGISTIC,Gardena,CA,90248,366,300,standard
IAAI Dream Rides,Los Angeles,CA,91605,TRT International - PACLOGISTIC,Gardena,CA,90248,33,120,standard
Copart Martinez,Martinez,CA,94553,TRT International - PACLOGISTIC,Gardena,CA,90248,390,300,standard
Copart Elgin,Elgin,IL,60120,Lube Avto Shipping (Apex),Irvington,NJ,07111,821,500,standard
Copart Lebanon,Lebanon,TN,37090,TRT International,Rincon,GA,31326,486,350,standard
Copart Los Angeles,Van Nuys,CA,91405,TRT International - PACLOGISTIC,Gardena,CA,90248,31,120,standard
Copart Glassboro,Glassboro,NJ,08028,Lube Avto Shipping (Apex),Irvington,NJ,07111,97,180,standard
IAAI St. Louis,Caseyville,IL,62232,TRT International,Rincon,GA,31326,787,550,standard
Copart San Diego,San Diego,CA,92154,TRT International - PACLOGISTIC,Gardena,CA,90248,137,225,standard
Copart Tucson,Tucson,AZ,85706,TRT International - PACLOGISTIC,Gardena,CA,90248,496,350,standard
Copart Wilmer,Wilmer,TX,75172,TRT International - Argus Motors,La Porte,TX,77571,249,250,standard
Copart Wilmer,Wilmer,TX,75172,TRT International - Argus Motors,La Porte,TX,77571,249,250,standard
Manheim Darlington,Darlington,SC,29532,TRT International,Rincon,GA,31326,185,245,standard
Copart Mercedes,Mercedes,TX,78570,TRT International - Argus Motors,La Porte,TX,77571,361,285,standard
IAAI Oklahoma City,Oklahoma City,OK,73121,TRT International - Argus Motors,La Porte,TX,77571,472,400,standard
IAAI Charlotte,Charlotte,NC,28206,TRT International,Rincon,GA,31326,256,230,standard
Copart Portland,Portland,OR,97218,TRT International - PACLOGISTIC,Gardena,CA,90248,985,520,standard
IAAI Port Murray,Port Murray,NJ,07865,Lube Avto Shipping (Apex),Irvington,NJ,07111,51,150,standard
IAAI Pittsburgh-North,Gibsonia,PA,15044,Lube Avto Shipping (Apex),Irvington,NJ,07111,362,355,standard
Copart Bismarck,Bismarck,ND,58504,Lube Avto Shipping (Apex),Irvington,NJ,07111,1618,1050,standard
Copart San Antonio,San Antonio,TX,78224,TRT International - Argus Motors,La Porte,TX,77571,228,225,standard
IAAI Sacramento,Rancho Cordova,CA,95742,TRT International - PACLOGISTIC,Gardena,CA,90248,402,300,standard
Manheim Pennsylvania,Manheim,PA,17545,Lube Avto Shipping (Apex),Irvington,NJ,07111,159,200,standard
Copart Grantville,Grantville,PA,17028,Lube Avto Shipping (Apex),Irvington,NJ,07111,142,230,standard
Manheim California,Anaheim,CA,92807,TRT International - PACLOGISTIC,Gardena,CA,90248,31,150,standard
IAAI Omaha South,Greenwood,NE,68366,TRT International,Rincon,GA,31326,1239,900,standard
Copart Pittsburgh,West Mifflin,PA,15122,Lube Avto Shipping (Apex),Irvington,NJ,07111,347,400,standard
IAAI Flint,Flint,MI,48507,Lube Avto Shipping (Apex),Irvington,NJ,07111,656,560,standard
Copart Lawrenceburg,Lawrenceburg,KY,40342,TRT International,Rincon,GA,31326,604,475,standard
Copart Atlanta North,Gainesville,GA,30507,TRT International,Rincon,GA,31326,236,275,standard
IAAI St. Louis,Caseyville,IL,62232,TRT International,Rincon,GA,31326,787,550,standard
IAAI Houston North,Houston,TX,77032,TRT International - Argus Motors,La Porte,TX,77571,35,110,standard
Copart Pennsburg,Pennsburg,PA,18073,Lube Avto Shipping (Apex),Irvington,NJ,07111,87,175,standard
Copart Opa Locka,Opa Locka,FL,33054,TRT International,Rincon,GA,31326,484,275,standard
Copart Thonotosassa,Thonotosassa,FL,33592,TRT International,Rincon,GA,31326,336,270,standard
IAAI Hartford,East Windsor,CT,06088,Lube Avto Shipping (Apex),Irvington,NJ,07111,152,275,standard
Copart Center Rutland,Center Rutland,VT,05736,Lube Avto Shipping (Apex),Irvington,NJ,07111,249,425,standard
IAAI Miami-North 2,Pembroke Pines,FL,33332,TRT International,Rincon,GA,31326,487,305,standard
Copart Elgin,Elgin,IL,60120,Lube Avto Shipping (Apex),Irvington,NJ,07111,821,525,standard
Copart Pennsburg,Pennsburg,PA,18073,Lube Avto Shipping (Apex),Irvington,NJ,07111,87,150,standard
IAAI Baltimore,Baltimore,MD,21226,Lube Avto Shipping (Apex),Irvington,NJ,07111,183,230,standard
Manheim Philadelphia,Hatfield,PA,19440,Lube Avto Shipping (Apex),Irvington,NJ,07111,74,200,standard
IAAI Houston North,Houston,TX,77032,TRT International - Argus Motors,La Porte,TX,77571,35,150,standard
Copart Malvern,Malvern,PA,19355,Lube Avto Shipping (Apex),Irvington,NJ,07111,104,250,standard
Copart Mendon,Mendon,MA,01756,Lube Avto Shipping (Apex),Irvington,NJ,07111,214,325,standard
IAAI Little Rock,Scott,AR,72142,TRT International - Argus Motors,La Porte,TX,77571,461,405,standard
Manheim Orlando,Ocoee,FL,34761,TRT International,Rincon,GA,31326,299,375,standard
Copart American Canyon,American Canyon,CA,94503,TRT International - PACLOGISTIC,Gardena,CA,90248,411,325,standard
IAAI Greensboro,Graham,NC,27253,TRT International,Rincon,GA,31326,325,300,standard
IAAI Eugene,Eugene,OR,97402,TRT International - PACLOGISTIC,Gardena,CA,90248,867,555,standard
IAAI North Hollywood,Los Angeles,CA,91605,TRT International - PACLOGISTIC,Gardena,CA,90248,33,120,standard
